Category_level,第一階層,第二階層,カテゴリ番号
1,イラスト・モデリング・漫画,,9
2,イラスト・モデリング・漫画,イラスト作成,192
2,イラスト・モデリング・漫画,Vtuberモデリング・イラスト,641
2,イラスト・モデリング・漫画,アイコン作成・SNSイラスト作成,191
2,イラスト・モデリング・漫画,似顔絵作成,190
2,イラスト・モデリング・漫画,キャラクター作成・キャラクターデザイン,193
2,イラスト・モデリング・漫画,漫画・コミックの制作依頼・外注,195
2,イラスト・モデリング・漫画,LINEスタンプ・配信用スタンプ作成,634
2,イラスト・モデリング・漫画,結婚式ウェルカムボードの作成,643
2,イラスト・モデリング・漫画,絵画・芸術・アート,808
2,イラスト・モデリング・漫画,メタバース（衣装・アバター）,809
2,イラスト・モデリング・漫画,ゲームイラスト作成,780
2,イラスト・モデリング・漫画,TRPGイラスト作成,781
2,イラスト・モデリング・漫画,キャラクター販売（完成品）,663
2,イラスト・モデリング・漫画,その他（イラスト・モデリング・漫画）,196
2,イラスト・モデリング・漫画,イラストレッスン・アドバイス,607
1,デザイン,,18
2,デザイン,ロゴ作成・ロゴデザイン,351
2,デザイン,チラシ作成・フライヤーデザイン,362
2,デザイン,建築・インテリア・図面デザイン,439
2,デザイン,名刺デザイン・カードデザインの作成依頼,357
2,デザイン,パンフレットやカタログのデザイン作成依頼,363
2,デザイン,ポスター・看板デザイン,365
2,デザイン,パッケージ・ラベルデザインの作成依頼,364
2,デザイン,プロダクトデザイン,671
2,デザイン,ファッション・グッズデザイン,672
2,デザイン,結婚式・記念日デザイン,639
2,デザイン,書籍・カバーデザイン,608
2,デザイン,メニュー・POPデザイン,354
2,デザイン,デザインデータ修正・変換,366
2,デザイン,写真の編集・加工,350
2,デザイン,ブースデザイン,782
2,デザイン,文字デザイン・筆文字,810
2,デザイン,その他（デザイン）,361
2,デザイン,Webサイトデザイン,501
2,デザイン,サムネイル・画像デザイン,355
2,デザイン,デザインレッスン・アドバイス,360
1,Webサイト制作・Webデザイン,,22
2,Webサイト制作・Webデザイン,ホームページ作成,500
2,Webサイト制作・Webデザイン,LP作成（ランディングページ制作）,503
2,Webサイト制作・Webデザイン,Webサイト修正・カスタム・コンサル,644
2,Webサイト制作・Webデザイン,ECサイト制作（ネットショップ制作）,507
2,Webサイト制作・Webデザイン,ECサイトの商品画像・ページ作成,681
2,Webサイト制作・Webデザイン,ブログサイト制作・カスタマイズ,505
2,Webサイト制作・Webデザイン,HTML・CSSコーディング,502
2,Webサイト制作・Webデザイン,サムネイル・画像デザイン,355
2,Webサイト制作・Webデザイン,バナー・ヘッダーのデザイン・作成,353
2,Webサイト制作・Webデザイン,Webサイトデザイン,501
2,Webサイト制作・Webデザイン,アプリデザイン,683
2,Webサイト制作・Webデザイン,Web素材作成,694
2,Webサイト制作・Webデザイン,その他（Webサイト制作・デザイン）,510
2,Webサイト制作・Webデザイン,EC運用代行,668
2,Webサイト制作・Webデザイン,ECコンサル・D2Cコンサル,760
2,Webサイト制作・Webデザイン,写真撮影・素材提供,352
1,動画制作・アニメーション制作・撮影,,10
2,動画制作・アニメーション制作・撮影,動画編集,211
2,動画制作・アニメーション制作・撮影,結婚式動画制作,219
2,動画制作・アニメーション制作・撮影,イベント・記念日動画制作,811
2,動画制作・アニメーション制作・撮影,PV・MV制作（ミュージックビデオ制作）,666
2,動画制作・アニメーション制作・撮影,アニメーション制作,220
2,動画制作・アニメーション制作・撮影,プロモーション・PR動画制作,664
2,動画制作・アニメーション制作・撮影,SNS/メディア用のオープニング・エンディング動画制作,665
2,動画制作・アニメーション制作・撮影,動画広告制作,210
2,動画制作・アニメーション制作・撮影,動画データ変換・ディスク化,684
2,動画制作・アニメーション制作・撮影,動画撮影・素材提供,610
2,動画制作・アニメーション制作・撮影,写真撮影・素材提供,352
2,動画制作・アニメーション制作・撮影,その他（動画・アニメーション）,218
2,動画制作・アニメーション制作・撮影,サムネイル・画像デザイン,355
2,動画制作・アニメーション制作・撮影,動画・写真レッスン・アドバイス,217
1,マーケティング・Web集客,,16
2,マーケティング・Web集客,SNSアカウント運用,311
2,マーケティング・Web集客,YouTube・動画マーケティング,688
2,マーケティング・Web集客,SEO対策,310
2,マーケティング・Web集客,MEO・ローカル集客,689
2,マーケティング・Web集客,マーケティング戦略,690
2,マーケティング・Web集客,リスティング広告,313
2,マーケティング・Web集客,SNS広告運用・コンサル,669
